mode,trial,cacheflow_decisions,prefill_chunks,prefill_tokens,kernel_launches,copy_bytes,cuda_event_ms,gpu_busy_ratio,maximum_idle_gap_ms,ttft_p95_ms,execute_duration_us
upstream,1,0,16,3400,8,50552800,11.593,0.9166666666666666,100.0,220.06051499975,781167.0
always,1,35,67,3464,6,50466800,10.472,1.0,0.0,634.6236650011633,1213969.0
always,2,15,38,3507,6,61845500,6.2459999999999996,1.0,0.0,265.54317500012985,737330.0
upstream,2,0,18,4306,6,46055400,7.760999999999999,0.9,100.0,219.0803349991256,728004.0
upstream,3,0,17,3733,6,46092300,6.498,1.0,0.0,225.75634499844455,789856.0
always,3,31,63,3032,6,56303600,7.433999999999999,0.8461538461538461,200.0,592.8725749983641,1074760.0
