phase,method,shape,context,batch,layout,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,max_abs_error,logical_kv_bytes
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,0,1,20289332,0.012400,0.751616,0.761000,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,0,0,20289332,0.010900,0.833536,0.842500,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,1,1,20289332,0.010300,0.751616,0.759000,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,1,0,20289332,0.013000,0.838656,0.848500,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,2,0,20289332,0.015500,0.752640,0.763900,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,2,1,20289332,0.014500,0.839680,0.850700,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,3,0,20289332,0.010500,0.750592,0.758400,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,3,1,20289332,0.008600,0.834560,0.840900,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,4,1,20289332,0.049500,0.778240,0.820600,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,4,0,20289332,0.011900,0.837632,0.867000,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,5,1,20289332,0.031400,0.752416,0.795100,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,5,0,20289332,0.035600,0.859136,0.889700,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,6,1,20289332,0.053800,0.783168,0.822800,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,6,0,20289332,0.054900,0.872448,0.987300,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,7,1,20289332,0.027200,0.751616,0.777400,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,7,0,20289332,0.030600,0.856064,0.886100,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,8,1,20289332,0.029600,0.749600,0.775700,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,8,0,20289332,0.029000,0.838560,0.864400,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,9,1,20289332,0.028200,0.749568,0.780800,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,9,0,20289332,0.033600,0.836608,0.861300,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,10,0,20289332,0.026500,0.751456,0.780500,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,10,1,20289332,0.026200,0.836608,0.864500,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,11,0,20289332,0.026200,0.750592,0.778500,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,11,1,20289332,0.025000,0.836608,0.861800,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,12,0,20289332,0.031100,0.751616,0.776800,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,12,1,20289332,0.028200,0.831488,0.856200,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,13,1,20289332,0.029200,0.749568,0.774000,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,13,0,20289332,0.028400,0.838656,0.863700,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,14,0,20289332,0.033200,0.745472,0.772500,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,14,1,20289332,0.027500,0.837600,0.865300,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,15,0,20289332,0.025900,0.750592,0.775400,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,15,1,20289332,0.025200,0.833280,0.861100,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,16,1,20289332,0.028500,0.750592,0.777700,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,16,0,20289332,0.029500,0.839680,0.867700,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,17,1,20289332,0.029000,0.750528,0.775900,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,17,0,20289332,0.026700,0.837632,0.862400,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,18,1,20289332,0.027300,0.750592,0.900000,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,18,0,20289332,0.027900,0.838400,0.864500,0.000000033,2097152
confirmatory,contiguous,qwen2.5-7b-shape,1024,1,fragmented,19,1,20289332,0.025000,0.750592,0.774900,0.000000033,2097152
confirmatory,paged,qwen2.5-7b-shape,1024,1,fragmented,19,0,20289332,0.020700,0.837632,0.864200,0.000000033,2097152
