phase,method,shape,context,batch,layout,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,max_abs_error,logical_kv_bytes
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,0,0,20276276,0.010400,0.191488,0.199500,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,0,1,20276276,0.014600,0.219040,0.225900,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,1,1,20276276,0.021600,0.198656,0.210600,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,1,0,20276276,0.015400,0.217088,0.226900,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,2,1,20276276,0.016200,0.194560,0.205900,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,2,0,20276276,0.019600,0.221152,0.230900,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,3,0,20276276,0.027300,0.206848,0.215300,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,3,1,20276276,0.013000,0.216064,0.224600,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,4,1,20276276,0.010600,0.192512,0.199800,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,4,0,20276276,0.024800,0.228352,0.235500,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,5,0,20276276,0.025700,0.207872,0.215200,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,5,1,20276276,0.029900,0.231424,0.240500,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,6,1,20276276,0.027400,0.208768,0.216400,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,6,0,20276276,0.011500,0.215936,0.223200,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,7,1,20276276,0.008800,0.191488,0.198000,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,7,0,20276276,0.010300,0.214016,0.220900,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,8,0,20276276,0.008800,0.191488,0.197800,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,8,1,20276276,0.008800,0.214016,0.220000,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,9,0,20276276,0.022600,0.191488,0.197600,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,9,1,20276276,0.008200,0.212992,0.219600,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,10,0,20276276,0.022400,0.191488,0.197500,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,10,1,20276276,0.008100,0.212992,0.219300,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,11,1,20276276,0.008000,0.191488,0.197100,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,11,0,20276276,0.022300,0.214912,0.220400,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,12,0,20276276,0.008500,0.191488,0.197300,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,12,1,20276276,0.008300,0.212992,0.219400,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,13,0,20276276,0.022000,0.191488,0.197900,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,13,1,20276276,0.008300,0.212992,0.218800,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,14,1,20276276,0.008300,0.191488,0.197000,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,14,0,20276276,0.030800,0.214016,0.219900,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,15,1,20276276,0.008400,0.190464,0.197600,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,15,0,20276276,0.008700,0.214016,0.219700,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,16,0,20276276,0.026200,0.193376,0.201200,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,16,1,20276276,0.010600,0.215040,0.222100,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,17,1,20276276,0.012900,0.193536,0.202900,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,17,0,20276276,0.024000,0.215040,0.222200,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,18,1,20276276,0.009500,0.192448,0.199200,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,18,0,20276276,0.015800,0.216064,0.226700,0.000000019,524288
confirmatory,contiguous,qwen2.5-7b-shape,256,1,fragmented,19,0,20276276,0.012000,0.194560,0.201700,0.000000019,524288
confirmatory,paged,qwen2.5-7b-shape,256,1,fragmented,19,1,20276276,0.010000,0.214016,0.220900,0.000000019,524288
