phase,method,shape,context,batch,layout,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,max_abs_error,logical_kv_bytes
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,0,1,20279628,0.010800,0.687040,0.694500,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,0,0,20279628,0.011300,0.770048,0.779300,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,1,0,20279628,0.013900,0.689152,0.699600,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,1,1,20279628,0.016700,0.774144,0.785600,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,2,0,20279628,0.017800,0.689152,0.701900,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,2,1,20279628,0.009100,0.770048,0.777700,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,3,1,20279628,0.008200,0.685792,0.691900,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,3,0,20279628,0.008600,0.771072,0.777900,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,4,1,20279628,0.012200,0.686816,0.695200,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,4,0,20279628,0.011700,0.770048,0.778200,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,5,0,20279628,0.009200,0.686080,0.692500,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,5,1,20279628,0.011900,0.769024,0.778400,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,6,0,20279628,0.012000,0.687104,0.696200,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,6,1,20279628,0.013200,0.771072,0.779500,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,7,1,20279628,0.011800,0.687104,0.695800,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,7,0,20279628,0.009000,0.769024,0.776400,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,8,1,20279628,0.010900,0.687104,0.695900,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,8,0,20279628,0.012300,0.770048,0.779000,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,9,1,20279628,0.008500,0.686080,0.692700,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,9,0,20279628,0.009100,0.770944,0.777400,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,10,0,20279628,0.011400,0.688128,0.696300,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,10,1,20279628,0.011500,0.771072,0.779300,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,11,1,20279628,0.008800,0.686080,0.693000,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,11,0,20279628,0.011300,0.771072,0.779300,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,12,0,20279628,0.012100,0.687872,0.696000,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,12,1,20279628,0.008300,0.769024,0.775100,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,13,0,20279628,0.011600,0.687104,0.694100,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,13,1,20279628,0.012300,0.771072,0.780400,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,14,0,20279628,0.013000,0.688064,0.696700,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,14,1,20279628,0.008900,0.771072,0.777000,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,15,0,20279628,0.009100,0.686080,0.693200,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,15,1,20279628,0.012100,0.772896,0.780800,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,16,1,20279628,0.008400,0.686912,0.692700,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,16,0,20279628,0.010700,0.771072,0.778700,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,17,1,20279628,0.011000,0.687104,0.694600,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,17,0,20279628,0.011500,0.770048,0.779100,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,18,1,20279628,0.010600,0.686080,0.692900,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,18,0,20279628,0.009500,0.770048,0.777200,0.000000000,2097152
confirmatory,contiguous,qwen2.5-0.5b,1024,4,fragmented,19,0,20279628,0.012200,0.688000,0.696500,0.000000000,2097152
confirmatory,paged,qwen2.5-0.5b,1024,4,fragmented,19,1,20279628,0.016600,0.775168,0.784600,0.000000000,2097152
