mode,trial,cacheflow_decisions,prefill_chunks,prefill_tokens,kernel_launches,copy_bytes,cuda_event_ms,gpu_busy_ratio,maximum_idle_gap_ms,ttft_p95_ms,execute_duration_us
upstream,1,0,21,5681,6,51425300,6.507,0.8333333333333334,200.0,299.50492000134545,799473.0
always,1,27,56,4378,8,61575200,10.985,0.9230769230769231,100.0,346.07682500027295,980682.0
always,2,20,48,3940,8,66601000,8.850999999999999,0.9166666666666666,100.0,332.17934999847785,838994.0
upstream,2,0,19,4714,6,56696800,10.202,0.8181818181818182,200.0,205.79759500014916,699169.0
upstream,3,0,21,5073,6,56709100,7.197,0.8181818181818182,200.0,209.40235500056588,716260.0
always,3,22,53,4912,6,56340500,6.904000000000001,0.8571428571428571,200.0,318.21269000047323,1074850.0
