backend,policy,trials,requests,ttft_median_ms,ttft_p95_ms,tpot_p95_ms,latency_p95_ms,burst_median_ms,aggregate_output_tps
cpu,upstream,3,24,1521.247750002658,7449.652299997979,418.92466570569826,11395.633795002868,12078.631700002006,14.350411341154194
cpu,cacheflow,3,24,1507.2441500014975,2877.0683549962996,151.4518561701326,7038.504200004171,7192.970300005982,21.873207697410137
cuda,upstream,3,24,63.62580000131857,155.29622999929413,15.134725927675708,524.4282899977406,668.1211000031908,254.44489030385077
cuda,cacheflow,3,24,61.40080000113812,91.64419000298949,11.931977272666161,489.7872449997519,611.8445000029169,286.56518663238364
