scenario,seed,policy,eviction_penalty,requests,prefill_tokens_total,prefill_tokens_p95,cache_hit_ratio,evicted_tokens_total
high-revisit-long,10,upstream-LCP,0.0,1000.0,338965.0,929.05,0.3065931593159316,337263.0
high-revisit-long,10,cost-aware-0.25,0.25,1000.0,401416.0,955.0,0.17883970215203338,396294.0
high-revisit-long,10,cost-aware-0.5,0.5,1000.0,401416.0,955.0,0.17883970215203338,396294.0
high-revisit-long,10,cost-aware-1.0,1.0,1000.0,401416.0,955.0,0.17883970215203338,396294.0
high-revisit-long,11,LRU,0.0,1000.0,413261.0,1002.1999999999998,0.11876192811677026,411614.0
high-revisit-long,11,upstream-LCP,0.0,1000.0,300568.0,878.05,0.35906856734654713,299016.0
high-revisit-long,11,cost-aware-0.25,0.25,1000.0,358183.0,897.0,0.23621029736328644,352363.0
high-revisit-long,11,cost-aware-0.5,0.5,1000.0,358183.0,897.0,0.23621029736328644,352363.0
high-revisit-long,11,cost-aware-1.0,1.0,1000.0,358183.0,897.0,0.23621029736328644,352363.0
high-revisit-long,12,LRU,0.0,1000.0,450415.0,1093.2999999999997,0.13007663723240703,448328.0
high-revisit-long,12,upstream-LCP,0.0,1000.0,319324.0,954.0999999999999,0.38326341730981683,316796.0
high-revisit-long,12,cost-aware-0.25,0.25,1000.0,407493.0,1006.05,0.2129754096460936,401884.0
high-revisit-long,12,cost-aware-0.5,0.5,1000.0,407493.0,1006.05,0.2129754096460936,401884.0
high-revisit-long,12,cost-aware-1.0,1.0,1000.0,407493.0,1006.05,0.2129754096460936,401884.0
high-revisit-long,13,LRU,0.0,1000.0,486434.0,1119.3499999999997,0.2695385530245808,484713.0
high-revisit-long,13,upstream-LCP,0.0,1000.0,322216.0,970.0,0.5161391563940192,320495.0
high-revisit-long,13,cost-aware-0.25,0.25,1000.0,375823.0,998.05,0.4356393418497823,366572.0
high-revisit-long,13,cost-aware-0.5,0.5,1000.0,375823.0,998.05,0.4356393418497823,366572.0
high-revisit-long,13,cost-aware-1.0,1.0,1000.0,375823.0,998.05,0.4356393418497823,366572.0
high-revisit-long,14,LRU,0.0,1000.0,397560.0,903.0999999999999,0.14280909196755456,395583.0
high-revisit-long,14,upstream-LCP,0.0,1000.0,287065.0,786.1499999999999,0.38105063886121854,284523.0
high-revisit-long,14,cost-aware-0.25,0.25,1000.0,352168.0,862.3499999999997,0.24068012954027004,346678.0
high-revisit-long,14,cost-aware-0.5,0.5,1000.0,352168.0,862.3499999999997,0.24068012954027004,346678.0
high-revisit-long,14,cost-aware-1.0,1.0,1000.0,352168.0,862.3499999999997,0.24068012954027004,346678.0
high-revisit-long,15,LRU,0.0,1000.0,406720.0,955.0,0.10531352082622994,404955.0
high-revisit-long,15,upstream-LCP,0.0,1000.0,298947.0,860.05,0.3423882796775152,297182.0
high-revisit-long,15,cost-aware-0.25,0.25,1000.0,372491.0,899.2499999999998,0.18060911360661688,366944.0
high-revisit-long,15,cost-aware-0.5,0.5,1000.0,372491.0,899.2499999999998,0.18060911360661688,366944.0
high-revisit-long,15,cost-aware-1.0,1.0,1000.0,372491.0,899.2499999999998,0.18060911360661688,366944.0
high-revisit-long,16,LRU,0.0,1000.0,431311.0,1079.05,0.1443702066710839,428230.0
high-revisit-long,16,upstream-LCP,0.0,1000.0,297624.0,903.05,0.4095769372686407,295052.0
high-revisit-long,16,cost-aware-0.25,0.25,1000.0,362735.0,932.0999999999999,0.2804104855123927,355522.0
high-revisit-long,16,cost-aware-0.5,0.5,1000.0,362735.0,932.0999999999999,0.2804104855123927,355522.0
high-revisit-long,16,cost-aware-1.0,1.0,1000.0,362735.0,932.0999999999999,0.2804104855123927,355522.0
high-revisit-long,17,LRU,0.0,1000.0,449355.0,1020.2499999999998,0.11055798578808812,446508.0
high-revisit-long,17,upstream-LCP,0.0,1000.0,332548.0,932.1499999999999,0.34176283129787616,329701.0
high-revisit-long,17,cost-aware-0.25,0.25,1000.0,420846.0,964.2999999999997,0.16698798519427566,415902.0
high-revisit-long,17,cost-aware-0.5,0.5,1000.0,420846.0,964.2999999999997,0.16698798519427566,415902.0
high-revisit-long,17,cost-aware-1.0,1.0,1000.0,420846.0,964.2999999999997,0.16698798519427566,415902.0
high-revisit-long,18,LRU,0.0,1000.0,497123.0,1196.4999999999995,0.1315703507273264,495583.0
high-revisit-long,18,upstream-LCP,0.0,1000.0,360743.0,1035.1,0.36981407625965385,359203.0
high-revisit-long,18,cost-aware-0.25,0.25,1000.0,424346.0,1035.1,0.2587052943632422,417250.0
high-revisit-long,18,cost-aware-0.5,0.5,1000.0,424346.0,1035.1,0.2587052943632422,417250.0
high-revisit-long,18,cost-aware-1.0,1.0,1000.0,424346.0,1035.1,0.2587052943632422,417250.0
high-revisit-long,19,LRU,0.0,1000.0,397179.0,1013.1499999999999,0.1249462976793988,395000.0
high-revisit-long,19,upstream-LCP,0.0,1000.0,291437.0,894.2999999999997,0.3579141247568249,289258.0
high-revisit-long,19,cost-aware-0.25,0.25,1000.0,356528.0,913.0999999999999,0.2145074478233761,351421.0
high-revisit-long,19,cost-aware-0.5,0.5,1000.0,356528.0,913.0999999999999,0.2145074478233761,351421.0
high-revisit-long,19,cost-aware-1.0,1.0,1000.0,356528.0,913.0999999999999,0.2145074478233761,351421.0
mixed,0,LRU,0.0,1000.0,94785.0,207.04999999999995,0.1908331127976165,94282.0
mixed,0,upstream-LCP,0.0,1000.0,84817.0,191.0,0.275928597648947,84314.0
mixed,0,cost-aware-0.25,0.25,1000.0,93447.0,201.04999999999995,0.20225544011815022,92348.0
mixed,0,cost-aware-0.5,0.5,1000.0,93447.0,201.04999999999995,0.20225544011815022,92348.0
mixed,0,cost-aware-1.0,1.0,1000.0,93447.0,201.04999999999995,0.20225544011815022,92348.0
mixed,1,LRU,0.0,1000.0,103485.0,232.04999999999995,0.19194640305465108,103031.0
mixed,1,upstream-LCP,0.0,1000.0,91000.0,211.04999999999995,0.2894344366620597,90546.0
mixed,1,cost-aware-0.25,0.25,1000.0,99946.0,218.14999999999986,0.21958037589699142,98402.0
mixed,1,cost-aware-0.5,0.5,1000.0,99946.0,218.14999999999986,0.21958037589699142,98402.0
mixed,1,cost-aware-1.0,1.0,1000.0,99946.0,218.14999999999986,0.21958037589699142,98402.0
mixed,2,LRU,0.0,1000.0,101001.0,232.0999999999999,0.19593513410236202,100583.0
mixed,2,upstream-LCP,0.0,1000.0,87349.0,217.0999999999999,0.3046181525797489,86931.0
mixed,2,cost-aware-0.25,0.25,1000.0,99068.0,231.04999999999995,0.21132366872855515,97708.0
mixed,2,cost-aware-0.5,0.5,1000.0,99068.0,231.04999999999995,0.21132366872855515,97708.0
mixed,2,cost-aware-1.0,1.0,1000.0,99068.0,231.04999999999995,0.21132366872855515,97708.0
mixed,3,LRU,0.0,1000.0,97991.0,216.0,0.18553950496201604,97653.0
mixed,3,upstream-LCP,0.0,1000.0,84095.0,194.04999999999995,0.3010372857689047,83681.0
mixed,3,cost-aware-0.25,0.25,1000.0,93271.0,204.0,0.22477018468341173,91974.0
mixed,3,cost-aware-0.5,0.5,1000.0,93271.0,204.0,0.22477018468341173,91974.0
mixed,3,cost-aware-1.0,1.0,1000.0,93271.0,204.0,0.22477018468341173,91974.0
mixed,4,LRU,0.0,1000.0,95506.0,208.04999999999995,0.19720594786789614,95132.0
mixed,4,upstream-LCP,0.0,1000.0,83991.0,194.0,0.2939974951036842,83617.0
mixed,4,cost-aware-0.25,0.25,1000.0,93178.0,205.0,0.21677439962342498,92015.0
mixed,4,cost-aware-0.5,0.5,1000.0,93178.0,205.0,0.21677439962342498,92015.0
mixed,4,cost-aware-1.0,1.0,1000.0,93178.0,205.0,0.21677439962342498,92015.0
mixed,5,LRU,0.0,1000.0,96066.0,217.0,0.2027122357686466,95723.0
mixed,5,upstream-LCP,0.0,1000.0,82937.0,197.04999999999995,0.31167473089276376,82607.0
mixed,5,cost-aware-0.25,0.25,1000.0,93074.0,209.04999999999995,0.22754396593936477,91900.0
mixed,5,cost-aware-0.5,0.5,1000.0,93074.0,209.04999999999995,0.22754396593936477,91900.0
mixed,5,cost-aware-1.0,1.0,1000.0,93074.0,209.04999999999995,0.22754396593936477,91900.0
mixed,6,LRU,0.0,1000.0,95132.0,210.0999999999999,0.19189276430913507,94666.0
