backend,model,phase,phase_wave,global_wave,requests,ttft_p95_ms,upstream_decisions,cacheflow_decisions,exploration_decisions,positive_decisions,drift_events,safety_fallbacks,cooldown_remaining,predicted_benefit_ms,uncertainty_ms
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,35,36,6,196.1035250023997,0,5,0,5,0,0,0,6.12487,5.63779
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,36,37,6,117.52527499811549,1,1,0,1,0,1,0,14.3861,7.20726
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,37,38,6,90.31634999882954,1,1,0,1,0,1,0,13.8126,6.44555
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,38,39,6,204.99557499897492,0,5,0,5,0,0,0,9.55827,6.61481
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,39,40,6,165.55477500151028,0,4,0,4,0,0,0,16.9873,7.12023
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,40,41,6,147.23972500178206,0,4,0,4,0,0,0,9.6838,5.15405
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,41,42,6,170.5876249980065,1,4,0,4,0,0,0,3.86001,5.95132
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,42,43,6,99.83875000216358,1,1,0,1,0,1,0,13.5338,6.37703
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,43,44,6,196.32994999665243,0,5,0,5,0,0,0,10.4562,5.77152
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,44,45,6,96.24360000270826,1,1,0,1,0,1,0,12.1866,6.01773
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,45,46,6,205.8026249978866,1,5,0,5,0,1,0,6.56278,3.9603
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,46,47,6,209.25099999840313,0,5,0,5,0,0,0,12.4901,4.62079
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,47,48,6,206.828400001541,1,5,0,5,0,1,0,5.64645,4.43104
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,48,49,6,105.60372500003723,1,1,0,1,0,1,0,11.2352,5.26981
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,distribution_shift,1,50,1,106.56369999924209,3,0,0,0,0,3,0,11.2352,5.26981
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,distribution_shift,2,51,1,29.63169999566162,0,0,0,0,0,0,0,11.2352,5.26981
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,distribution_shift,3,52,1,18.06140000553569,0,0,0,0,0,0,0,11.2352,5.26981
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,distribution_shift,4,53,1,31.582600000547245,0,0,0,0,0,0,0,11.2352,5.26981
