eviction_penalty,trials,target_wall_ms_median,target_prompt_processed_tokens_median,target_prompt_ms_median,followup_wall_ms_median,followup_prompt_processed_tokens_median,followup_prompt_ms_median,sequence_wall_ms_median,sequence_prompt_processed_tokens_median,cache_selections_median,lru_selections_median,selection_reused_tokens_median,selection_evicted_tokens_median,prompt_tokens_cached_total_median,kv_cache_tokens_median,kv_cache_capacity_tokens_median,memory_model_mib_median,memory_context_mib_median,memory_compute_mib_median
0.0,5,28.36859999661101,5.0,26.103,1394.402199999604,410.0,1391.903,1422.2882999965805,415.0,2.0,0.0,160.0,405.0,160.0,560.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.5,5,94.35030000167899,25.0,92.647,51.16489999636542,10.0,48.269,145.20279999851482,35.0,2.0,0.0,540.0,10.0,540.0,575.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
