concurrency,requests,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,total_p50_ms,total_p95_ms,mean_output_tps,aggregate_output_tps,gpu_server_idle_mib,gpu_memory_peak_mib,gpu_memory_increment_mib
1,30.0,21.860649999780435,35.89968499959468,3.333627659579159,3.476411489372309,176.49015000051804,195.28679499994723,299.05247645684466,266.7318745851244,553.0,553.0,553.0
2,60.0,27.954099999988102,39.04273500065756,4.189429787228173,4.356579680848456,225.66469999992478,239.62352500057023,238.67787315717408,425.96774267863134,553.0,553.0,553.0
4,120.0,31.54244999996081,51.48602999970535,6.016109574481581,6.644549042553951,316.17864999998346,348.8988500005689,168.35225027349907,610.9910197727108,553.0,553.0,553.0
